Time,winter_in_Megawatts,summer_in_Megawatts,monsoon_in_Megawatts,fall_in_Megawatts
00:00 - 00:15,101.235935974845,140.401146213592,143.282354439721,94.7267787382793
00:15 - 00:30,98.9537744588105,138.11989223301,140.675012120881,92.580091962323
00:30 - 00:45,97.0812539923382,136.292328737864,138.563865164359,90.9544943666946
00:45 - 01:00,95.6252831468571,134.346326796117,136.716596903489,89.5479037656017
01:00 - 01:15,94.2954574908805,132.568620776699,134.658302120881,88.2122349131426
01:15 - 01:30,93.2362357999184,130.926666990291,132.981770816533,86.9920760060388
01:30 - 01:45,92.4325015725131,129.495402524272,131.5897174832,86.0426357874596
01:45 - 02:00,91.7212345171195,128.308893398058,130.17822806291,85.2853037656017
02:00 - 02:15,91.2125963830087,127.153073592233,128.972512120881,84.6508722901918
02:15 - 02:30,90.8511704937959,126.140291067961,127.946844584649,84.0826781918312
02:30 - 02:45,90.4976246045831,125.261265825243,126.854842265808,83.5405798311754
02:45 - 03:00,90.2013787736793,124.43161184466,125.824105888997,83.1636786289896
03:00 - 03:15,90.0860455958367,123.600514368932,124.958566178852,82.8777802683339
03:15 - 03:30,89.8881077532711,122.618250291262,124.066050091895,82.6187671535798
03:30 - 03:45,89.7928299690146,121.900201359223,123.366262990446,82.3309192847273
03:45 - 04:00,89.8325285112886,121.055861553398,122.798574729576,82.1106755688804
04:00 - 04:15,90.1287157999184,120.250273203883,122.204533860011,82.1701306508476
04:15 - 04:30,90.3348635550204,119.526508543689,121.648768207837,82.1997804869131
04:30 - 04:45,90.8682587736793,118.905641747573,121.220592845518,82.3736972082246
04:45 - 05:00,91.5800633217843,118.070682524272,121.210572555663,82.8951227819951
05:00 - 05:15,93.1421360914636,117.19150038835,121.112217628127,83.8739007054924
05:15 - 05:30,94.9271469369446,115.467171067961,120.343846468707,85.166023109864
05:30 - 05:45,97.0483376074985,113.514371456311,119.132958207837,86.5507505415579
05:45 - 06:00,99.6754514267405,112.376700776699,117.819772845518,88.0705953503011
06:00 - 06:15,103.160269852396,113.052821165049,118.120251396243,89.9041584104104
06:15 - 06:30,106.976851776595,114.210045242718,119.645924729576,91.4513079186071
06:30 - 06:45,110.645649094379,116.564766019417,122.427318932475,92.9438869350006
06:45 - 07:00,114.229663671638,119.970198058252,125.960394294794,96.0442703229787
07:00 - 07:15,117.961771566181,124.352968737864,130.563068497692,99.6911072628694
07:15 - 07:30,122.282111974344,129.163704271845,135.646820526678,103.231323437733
07:30 - 07:45,126.586771682799,134.305529320388,141.876534584649,107.311205404946
07:45 - 08:00,130.804360953936,140.558741359223,148.734309077402,111.419127809318
08:00 - 08:15,135.492257957353,148.061633786408,157.030022410736,116.625600377624
08:15 - 08:30,140.483504254729,156.93757184466,166.727097628127,122.440180924072
08:30 - 08:45,144.936161514204,166.83619592233,177.109897773055,128.413663984181
08:45 - 09:00,149.284653525866,177.148730873786,187.80245038175,134.356407590738
09:00 - 09:15,152.975429502542,188.452497864078,198.82058096146,140.338449557951
09:15 - 09:30,156.292900406332,199.728559223301,209.704919657113,145.943019831175
09:30 - 09:45,159.638059706624,210.296083106796,220.357075309286,151.377473383088
09:45 - 10:00,162.481440464641,219.573530097087,228.971678787547,156.25888431205
10:00 - 10:15,164.736355916536,227.553442524272,236.571137628127,160.293818301121
10:15 - 10:30,166.390350318869,233.550203495146,241.95725038175,162.976442563416
10:30 - 10:45,167.538011636653,238.04229631068,245.657160091895,165.275827481449
10:45 - 11:00,168.096994143942,241.31524815534,248.665207048417,166.867139175438
11:00 - 11:15,167.985148313038,243.529540970874,250.637530526678,168.081919066148
11:15 - 11:30,167.709736199918,245.052606019417,251.84291038175,168.828305951394
11:30 - 11:45,167.139672876303,246.149212621359,252.851798932475,169.080477536093
11:45 - 12:00,166.556244771347,247.237604466019,253.524553135373,169.437794694563
12:00 - 12:15,165.902929109539,248.669434951456,254.400529657113,169.73787578746
12:15 - 12:30,165.281123861726,249.170139029126,254.461028787547,169.481381579809
12:30 - 12:45,164.859137855895,250.001045631068,254.451104874504,169.531721907678
12:45 - 13:00,164.390003861726,250.715895145631,254.134424874504,168.851138301121
13:00 - 13:15,163.890179605166,251.933399223301,254.236580236823,168.233594038826
13:15 - 13:30,161.954959663475,250.871114757282,252.6566074832,166.963239284727
13:30 - 13:45,159.491910100793,250.128170097087,251.157204584649,165.2672778349
13:45 - 14:00,157.574173541026,249.835689902913,250.051630816533,163.931874556212
14:00 - 14:15,156.346156164933,249.635832038835,249.825252410736,163.438623408671
14:15 - 14:30,155.517629401085,249.177764854369,250.077318352765,163.241073244736
14:30 - 14:45,155.040621455895,250.411690291262,250.796933570156,163.23286362725
14:45 - 15:00,154.503555216828,251.460957087379,250.308869657113,163.077968763862
15:00 - 15:15,153.938836033155,251.716211262136,249.765088497692,162.976770949654
15:15 - 15:30,153.013114167265,251.277605242718,248.343060671605,162.346683955119
15:30 - 15:45,152.022857374262,250.375545825243,247.742191686098,161.390086796649
15:45 - 16:00,151.074123146857,248.784313980583,246.17148806291,160.467538818507
16:00 - 16:15,150.426890727032,247.381072038835,245.375257048417,159.452005485174
16:15 - 16:30,149.582880581259,244.320359223301,243.509263280301,157.923235867687
16:30 - 16:45,148.781991601668,241.561065825243,241.251592265808,156.836198490638
16:45 - 17:00,148.258344721201,238.074831067961,238.10145980204,155.281146687359
17:00 - 17:15,148.227511718286,232.625533203883,233.777409077402,154.12183499337
17:15 - 17:30,147.741848044816,225.378879417476,226.917900236823,152.921935321239
17:30 - 17:45,147.297654342192,216.612593786408,218.775292845518,152.323220567141
17:45 - 18:00,147.883166178927,207.743643883495,210.567339946968,152.295244173698
18:00 - 18:15,149.424461222659,199.824021747573,203.561770526678,152.440728326704
18:15 - 18:30,150.944579823242,192.959112815534,197.826833135373,151.507653135447
18:30 - 18:45,152.073129677469,188.266681359223,193.964439367257,149.932276742004
18:45 - 19:00,152.463624487965,185.466954563107,191.391697628127,148.162049856758
19:00 - 19:15,151.58482658709,183.407297864078,189.33319038175,145.600631496102
19:15 - 19:30,150.217656441318,181.005301747573,187.348601541171,142.777079146376
19:30 - 19:45,148.461420173096,178.850110679612,184.777921541171,139.85945226113
19:45 - 20:00,146.326013059394,175.621589320388,181.369901251315,136.733221222878
20:00 - 20:15,143.529122330531,171.176776504854,176.917198497692,133.059896632714
20:15 - 20:30,141.102981339277,167.765347378641,173.131083135373,130.020861004299
20:30 - 20:45,139.175077549189,165.147370679612,170.097224874504,127.521150403206
20:45 - 21:00,137.117190435487,162.651653398058,167.283878787547,125.208605485174
21:00 - 21:15,134.543501922367,159.843198640777,164.308691251315,122.392399583534
21:15 - 21:30,132.196192417994,157.902590097087,162.526892845518,119.88344657807
21:30 - 21:45,130.192326878636,156.721449126214,161.100806468707,117.920992370419
21:45 - 22:00,127.965109269306,155.820161359223,160.017923280301,115.924651605392
22:00 - 22:15,124.729954983592,154.504197087379,158.328175019431,113.226458599928
22:15 - 22:30,121.751132009831,153.492891067961,157.119125309286,110.657024720146
22:30 - 22:45,119.129538190589,152.853947378641,156.214316323779,108.673301222878
22:45 - 23:00,116.324083496711,151.772079417476,154.853639512185,106.480484173698
23:00 - 23:15,113.049157782426,149.849797864078,152.725714874504,103.94654078572
23:15 - 23:30,109.837953584175,148.123027378641,150.51411980204,101.443955649108
23:30 - 23:45,106.929617840735,146.039154757282,148.136739077402,99.0599895288894
23:45 - 24:00,104.107088977761,143.98193961165,145.7582874832,96.6173578349003
TOTAL IN Mus,3.15780266089696,4.30511909208738,4.39869894057505,3.03849600159934