"","Subdistrict","District","Subdistrict2","annual_percap_consump_KWh","Total","Good","Livable","Dilapidated","Total.1","Good_residence","Livable_residence","Dilapidated_residence","Total_other","Good_other","Livable_other","Dilapidated_other","num_of_households","population_persons","population_males","population_females","growth_rate_2001_2011","sex_ratio_2001","sex_ratio_2011","child_pop_age0to6","child_pop_age0to6_males","child_pop_age0to6_females","percent_child_to_totalpop","child_sex_ratio_2001","child_sex_ratio_2011","scheduled_castes_pop_2011","scheduled_castes_pop_2011_males","scheduled_castes_pop_2011_females","percent_scheduled_caste_to_totalpop","literates","literates_males","literates_females","literacy_rate","literacy_rate_males","literacy_rate_females","total_workers","total_workers_males","total_workers_females","main_workers_person","main_workers_males","main_workers_females","percent_mainworkers_to_totalpop","marginal_workers","marginal_workers_males","marginal_workers_females","percent_marginal_workers_to_totalpop","cultivator_persons","cultivator_males","cultivator_females","agricultural_labourers","agricultural_males","agricultural_females","household_industry_workers","household_industry_workers_males","household_industry_workers_females","other_workers","other_workers_males","other_females_females","nonworkers","nonworkers_males","nonworkers_females","percent_nonworkers_to_total_pop","intercept","heating","cooling","threshold.t","sig.heating","sig.cooling","cooling.per","heating.per"
"1","Chanakyapuri","New Delhi","Chanakya Puri",6024.672319,100,55.8,39.7,4.5,97.8,55.3,38,4.4,2.2,0.4,1.7,0.1,15074,61382,34005,27377,-18.1507854,796.3064984,805.0874871,5992,3165,2827,9.761819426,898.2737361,893.206951,15095,8281,6814,24.59189991,48178,28101,20077,86.97959921,91.11867704,81.78004073,25830,20708,5122,24230,19690,4540,39.47411293,1600,1018,582,2.60662735,46,35,11,118,78,40,315,195,120,25351,20400,4951,35552,13297,22255,57.91925972,59.7089982828636,-0.625843235048512,2.16069243805276,20.4565186170838,0.483804293755897,0.0184631086437663,3.52007500252967e-05,-1.01958755832086e-05
"2","Civil Lines","North","Civil Lines",1425.528364,100,62.1,34.9,3,95.5,59.6,33.1,2.9,4.5,2.5,1.8,0.1,139116,688616,367522,321094,30.79722532,836.055283,873.6728686,81395,43583,37812,11.8200855,868.7627984,867.5859854,129391,67996,61395,18.79000778,532415,299128,233287,87.68059734,92.34084195,82.35150839,225926,194192,31734,216529,187767,28762,31.44408495,9397,6425,2972,1.364621211,2058,1617,441,1378,1035,343,6785,5718,1067,215705,185822,29883,462690,173330,289360,67.19129384,101.119627599462,1.02582670019245,4.31481125265223,22.9572844657925,0.243753750439818,5.22127925953907e-05,6.26591780128872e-06,1.48969338527198e-06
"3","Connaught Place","New Delhi","Connaught Place",3861.759513,100,76.1,22.6,1.3,97.7,74.9,21.7,1.1,2.3,1.3,0.9,0.2,6814,28228,15208,13020,-37.25158938,754.1821018,856.1283535,2374,1228,1146,8.410089273,926.1308168,933.2247557,5534,2928,2606,19.60464787,22969,12899,10070,88.84118512,92.26752504,84.80714165,12714,9425,3289,12056,9003,3053,42.70936659,658,422,236,2.331018847,35,17,18,61,47,14,448,300,148,12170,9061,3109,15514,5783,9731,54.95961457,15.7383273235308,-0.0901138696512821,0.573505452082863,21.0124292835744,0.631559457523522,0.00408462915478463,2.03168999604245e-05,-3.19235757585667e-06
"4","Daryaganj","Central","Darya Ganj",489.2288578,100,51.9,43.3,4.8,97.1,50.5,42,4.7,2.9,1.5,1.3,0.1,53125,271108,143293,127815,-12.07127498,853.5616167,891.9835582,30709,15773,14936,11.32722015,932.3099686,946.9346351,30211,15769,14442,11.14352952,198753,107129,91624,82.67630065,84.00956713,81.1701025,93360,82653,10707,88525,79318,9207,32.65303864,4835,3335,1500,1.783422105,433,274,159,343,259,84,4940,4184,756,87644,77936,9708,177748,60640,117108,65.56353925,39.2522150667203,-2.00422477050499,3.13496178632503,14.744493309742,0.00465973442113718,1.38358577905414e-05,1.15635163341732e-05,-7.39271718468282e-06
"5","Defence Colony","South","Defence Colony",981.770736,100,75.5,20.9,3.6,97.3,73.8,20,3.5,2.7,1.7,0.9,0.1,137677,637775,339725,298050,4.540254001,814.8489698,877.32725,66230,34886,31344,10.38454,885.0192379,898.4693,68480,35958,32522,10.737329,508758,280938,227820,89.01451329,92.15946778,85.41990056,232196,185243,46953,217951,175385,42566,34.17365058,14245,9858,4387,2.233546313,636,494,142,1236,999,237,7036,5987,1049,223288,177763,45525,405579,154482,251097,63.5928031,85.2093561353713,-0.56762918390982,4.60822077364403,22.6069798134567,0.535459246277402,5.52510088602439e-06,7.225464738574e-06,-8.9001479190909e-07
"6","Delhi Cantonment","South West","Delhi Cantonment",2546.784039,100,56.5,38,5.6,95.8,54.2,36.5,5.1,4.2,2.3,1.4,0.5,63974,286140,160494,125646,-6.88517335,692.9340341,782.8703877,31252,16874,14378,10.92192633,838.3266602,852.0801233,53894,29216,24678,18.83483609,223321,131775,91546,87.61534478,91.75254143,82.27522738,110721,93096,17625,101265,86393,14872,35.39001887,9456,6703,2753,3.304676033,375,286,89,493,401,92,2257,1697,560,107596,90712,16884,175419,67398,108021,61.3053051,114.042202767012,-0.00717793592610147,3.72349154431827,20.526023491174,0.994233577262829,0.000466135446982697,1.30128312864971e-05,-2.50853984975937e-08
"7","Gandhi Nagar","East","Gandhi Nagar",423.00588,100,72.2,25.4,2.4,92.7,67.4,23,2.3,7.3,4.8,2.4,0.1,80389,395342,208645,186697,7.1564676,847.4939533,894.8069688,43344,23361,19983,10.96367196,845.8416325,855.4000257,37461,19743,17718,9.475593284,318578,172557,146021,90.50562787,93.13108525,87.58772509,131210,114595,16615,127237,111911,15326,32.18403307,3973,2684,1289,1.004952674,232,180,52,833,644,189,6364,5650,714,123781,108121,15660,264132,94050,170082,66.81101426,24.5814876670366,-0.148705962162015,1.09934605491486,22.7684741587865,0.33121175451744,6.21813619515511e-09,2.78074693534929e-06,-3.76145115272384e-07
"8","Hauz Khas","South","Hauz Khas",1577.710763,100,69.2,28.6,2.1,96.8,67.3,27.4,2,3.2,1.9,1.2,0.1,254502,1231293,658380,572913,19.24547488,805.8868796,870.1859109,149983,79739,70244,12.180935,882.1726712,880.9240146,219813,115084,104729,17.85220902,939355,533893,405462,86.87194237,92.26670768,80.66182717,413366,346853,66513,390586,330625,59961,31.72161297,22780,16228,6552,1.850087672,1498,1187,311,2801,2243,558,11625,9664,1961,397442,333759,63683,817927,311527,506400,66.42829936,302.258244766091,-2.53551122764612,10.3238700589974,22.9835010152395,0.0767290951677044,7.9313821320381e-10,8.38457626170002e-06,-2.05922654286682e-06
"9","Kalkaji","South","Kalkaji",1828.157864,100,56.6,40,3.4,96.2,54.6,38.3,3.3,3.8,2,1.6,0.1,181954,862861,469323,393538,38.19551329,773.3599934,838.5227232,114830,60967,53863,13.30805309,897.4972562,883.4779471,134633,72157,62476,15.6030925,630289,370205,260084,84.25974325,90.65741657,76.56848458,278831,243496,35335,260549,229525,31024,30.19594118,18282,13971,4311,2.118765363,850,731,119,1871,1559,312,6420,5246,1174,269690,235960,33730,584030,225827,358203,67.68529346,218.208212059944,-1.44658452299175,9.58542930455737,22.4855655923372,0.237450005750739,1.30216226315924e-11,1.11088915880511e-05,-1.67649774759985e-06
"10","Karol Bagh","Central","Karol Bagh",738.1445555,100,74.3,24.9,0.8,95.2,71.5,22.9,0.7,4.8,2.8,2,0,30496,136599,71544,65055,-2.601819634,867.9559409,909.3005703,12834,6963,5871,9.395383568,869.1671964,843.171047,59352,30206,29146,43.44980564,112691,60602,52089,91.05239769,93.83874514,88.01196269,51608,41821,9787,49356,40441,8915,36.13203611,2252,1380,872,1.648621147,59,37,22,93,74,19,2782,2403,379,48674,39307,9367,84991,29723,55268,62.21934275,17.2019298657573,-0.237225479290985,0.612745901816613,19.5006128163678,0.266212944230951,0.00514890737954391,4.48572758085061e-06,-1.73665604646436e-06
"11","Kotwali","North","Kotwali",978.389109,100,52.3,43.5,4.2,95.6,50.3,41.4,4,4.4,2,2.2,0.2,15352,69174,37643,31531,-43.34736532,772.2654436,837.6324948,6800,3619,3181,9.830283054,912.5810911,878.9720917,8380,4465,3915,12.11437823,54930,30313,24617,88.06554013,89.09299318,86.8324515,25567,22809,2758,24258,21866,2392,35.06808917,1309,943,366,1.892329488,51,34,17,74,60,14,1787,1559,228,23655,21156,2499,43607,14834,28773,63.03958135,20.5742848308984,-1.06754290923732,1.65936907998459,14.7272853987466,0.00477122060095749,1.64214817164387e-05,2.39883349233034e-05,-1.54327190741799e-05
"12","Model Town","North West","Model Town",460.8760609,100,58.7,38.5,2.8,96.9,57,37.2,2.7,3.1,1.7,1.3,0.1,121110,595810,319197,276613,6.943492136,810.8790691,866.5902248,69702,37368,32334,11.69869589,880.4448136,865.285806,107349,57436,49913,18.01732096,441557,249068,192489,83.92896516,88.37557526,78.79883248,201062,172343,28719,194028,167471,26557,32.56541515,7034,4872,2162,1.180577701,306,222,84,741,583,158,5627,4804,823,194388,166734,27654,394748,146854,247894,66.25400715,38.3736998504602,-0.177931268930202,2.29632254958684,23.3616901569035,0.511558814712241,6.1712669772787e-10,3.85411884591873e-06,-2.98637600795895e-07
"13","Najafgarh","South West","Najafgarh",2461.901628,100,73.9,24.3,1.8,95.7,71,22.9,1.7,4.3,2.9,1.4,0.1,278874,1365152,729396,635756,49.76982995,810.1731133,871.619806,166805,91067,75738,12.21878589,841.1117075,831.6733833,171602,90605,80997,12.57017534,1059714,598601,461113,88.43131414,93.77625018,82.33896053,432255,370426,61829,409644,354667,54977,30.00720799,22611,15759,6852,1.656299079,8359,7079,1280,5068,4022,1046,11442,9053,2389,407386,350272,57114,932897,358970,573927,68.33649293,347.291527145533,0.602351360501601,25.211454627149,24.2695042620465,0.679884381903438,1.94520178447678e-16,1.84678736339609e-05,4.41233914246619e-07
"14","Narela","North West","Narela",2672.943812,100,53.3,41.5,5.2,95.4,50.9,39.3,5.1,4.6,2.4,2.1,0.1,160132,809913,439576,370337,61.49456343,788.3579205,842.486851,109475,59122,50353,13.51688391,828.0794522,851.6795778,155299,83528,71771,19.17477556,569830,333642,236188,81.35338174,87.69575297,73.81244062,255167,220922,34245,240311,209991,30320,29.6712116,14856,10931,3925,1.834271088,7205,5987,1218,8494,6515,1979,6440,5256,1184,233028,203164,29864,554746,218654,336092,68.49451731,284.815013864907,0.34520262419792,6.57646227367831,24.5516128820115,0.715309133030664,5.93500170896146e-07,8.11996137076243e-06,4.26221858641508e-07
"15","Paharganj","Central","Pahar Ganj",417.2066872,100,51.3,45.6,3.1,95.3,49.6,42.9,2.8,4.7,1.8,2.7,0.2,36018,174613,92984,81629,-11.72690966,808.0195966,877.8822163,19196,10192,9004,10.9934541,874.1307915,883.4379906,53615,27807,25808,30.70504487,130916,72787,58129,84.23531531,87.91549908,80.03993115,62406,53147,9259,58097,50204,7893,33.27186407,4309,2943,1366,2.467742952,105,69,36,165,132,33,3180,2730,450,58956,50216,8740,112207,39837,72370,64.26039298,11.0023264644054,-0.115953319288747,0.493780856780549,21.0053332588478,0.136773695093572,3.87744484147386e-08,2.82785850297829e-06,-6.64058914792982e-07
"16","Parliament Street","New Delhi","Parliament Street",3459.922074,100,77.4,18.5,4.1,98.6,76.7,17.8,4,1.4,0.6,0.7,0.1,11320,52394,28729,23665,-11.39484543,815.9818193,823.7321174,4394,2345,2049,8.386456464,871.3105077,873.7739872,12616,6676,5940,24.07909303,43032,24678,18354,89.65,93.53395998,84.90932642,20997,16807,4190,20185,16223,3962,38.52540367,812,584,228,1.549795778,40,27,13,96,73,23,267,220,47,20594,16487,4107,31397,11922,19475,59.92480055,11.0380520797894,0.674030766147797,-0.734770010499193,30.9501276289295,9.91983551168934e-13,0.00931921864226121,-1.40239342386379e-05,1.28646556122418e-05
"17","Patel Nagar","West","Patel Nagar",531.9764062,100,68.8,28.9,2.2,95.9,66.4,27.4,2.2,4.1,2.5,1.5,0.1,267062,1262158,670390,591768,18.53775406,835.9421339,882.7219976,141905,75675,66230,11.24304564,867.8842873,875.1899571,157422,83498,73924,12.47244798,985305,546466,438839,87.95379258,91.88703833,83.50281045,430177,360932,69245,410551,347024,63527,32.52770255,19626,13908,5718,1.554955877,747,539,208,1415,1165,250,14117,11856,2261,413898,347372,66526,831981,309458,522523,65.91734157,129.90099081716,-0.486397649301309,5.49795094325093,21.0338089633768,0.486631942589311,1.68048829563247e-10,4.35599262790469e-06,-3.85369858053674e-07
"18","Preet Vihar","East","Preet Vihar",2014.54545,100,75.6,22.6,1.8,96.8,73.5,21.6,1.7,3.2,2.1,1,0.1,228414,1066098,568086,498012,20.5190207,834.0558932,876.6489581,125276,66794,58482,11.75088969,878.5022409,875.5576848,195540,102967,92573,18.34165339,835392,467168,368224,88.79384198,93.19278983,83.77676154,363268,301413,61855,345447,288795,56652,32.40293106,17821,12618,5203,1.671609927,762,540,222,2071,1487,584,10636,8929,1707,349799,290457,59342,702830,266673,436157,65.92545901,298.972063500085,-0.725449256557979,16.3465129139085,24.1352527821676,0.585818556135971,6.84364090625075e-11,1.53330302785565e-05,-6.80471454367215e-07
"19","Punjabi Bagh","West","Punjabi Bagh",984.673423,100,65.3,31.1,3.6,95.8,63,29.5,3.3,4.2,2.3,1.6,0.3,162007,799453,426618,372835,34.5490868,830.9426008,873.9317141,98558,52796,45762,12.32817939,842.7801563,866.7702099,163698,86233,77465,20.47625064,596550,337041,259509,85.11260603,90.16082521,79.34283784,264170,225680,38490,254652,219232,35420,31.85327968,9518,6448,3070,1.190564048,1930,1614,316,2549,2060,489,8723,7230,1493,250968,214776,36192,535283,200938,334345,66.95615627,118.162601359686,-0.994718947244126,8.58318695075864,21.0002113277733,0.0839494102678718,4.72592668363966e-25,1.0736324650428e-05,-1.24424943960949e-06
"20","Rajouri Garden","West","Rajouri Garden",187.5331504,100,71.5,25.3,3.2,96.3,69.3,24,3,3.7,2.2,1.3,0.2,104152,481632,259232,222400,2.482961425,817.2864617,857.9187755,47958,25617,22341,9.957394857,862.1368471,872.1161729,55352,30367,24985,11.49259185,379324,210426,168898,87.46754475,90.07383944,84.42409489,179973,145986,33987,174418,142006,32412,36.21395588,5555,3980,1575,1.153370208,275,213,62,394,301,93,6182,5503,679,173122,139969,33153,301659,113246,188413,62.63267391,18.6441445132186,-0.0866543625892497,0.606150545481814,23.945619653472,0.332252134984463,3.91222043118599e-08,1.25853461871681e-06,-1.79918200180324e-07
"21","Sadar Bazaar","North","Sadar Bazar",607.9561282,100,50.3,44.3,5.4,94.3,47.9,41.4,5,5.7,2.4,2.9,0.4,25576,130188,69837,60351,-2.075263075,840.2751824,864.1694231,15109,7953,7156,11.60552432,932.387975,899.7862442,27892,14546,13346,21.42440163,94172,52174,41998,81.8324803,84.30935298,78.95102923,44953,40574,4379,42796,38914,3882,32.87246136,2157,1660,497,1.656834731,78,60,18,339,243,96,2456,2199,257,42080,38072,4008,85235,29263,55972,65.47070391,13.7255823792199,-0.29007590802765,0.865094215517472,19.4774427454584,0.011905161401613,2.08855158027322e-11,6.64496125232335e-06,-2.2281309185766e-06
"22","Saraswati Vihar","North West","Saraswati Vihar",611.5961583,100,65.3,31.8,2.9,96.8,63.4,30.5,2.8,3.2,1.9,1.3,0.1,455011,2250816,1202149,1048667,24.89046915,832.2758267,872.3269744,270717,144679,126038,12.02750469,858.1664867,871.1561457,434589,230582,204007,19.30806428,1696468,959242,737226,85.67591822,90.71103672,79.90492386,732316,629154,103162,700787,605930,94857,31.13479734,31529,23224,8305,1.400780872,3922,3441,481,4054,3397,657,23829,20595,3234,700511,601721,98790,1518500,572995,945505,67.46442179,184.313041398292,-1.33294570758448,11.2741550090067,20.3344640081899,0.230163272020297,1.85032513975055e-16,5.00891899160424e-06,-5.92205541272356e-07
"23","Seelampur","North East","Seelam Pur",889.5406121,100,61,37.1,1.9,93,56.8,34.4,1.8,7,4.2,2.7,0.1,245151,1378779,732925,645854,49.84692297,840.4082751,881.2006686,192839,102618,90221,13.98621534,875.7740882,879.1927342,175443,92879,82564,12.7245193,979645,558753,420892,82.60493786,88.64775419,75.75000045,395547,362219,33328,372510,345389,27121,27.01738277,23037,16830,6207,1.670826144,1515,1313,202,1627,1437,190,20398,16805,3593,372007,342664,29343,983232,370706,612526,71.31179108,181.618057144387,-1.306762004714,9.23988551442423,22.6506486148794,0.11741452593696,4.37666579770409e-16,6.70149858274911e-06,-9.47767557174863e-07
"24","Seemapuri","North East","Seema Puri",440.433589,100,62.1,35.7,2.2,95.2,59.2,33.8,2.1,4.8,2.8,1.9,0.1,102728,539914,286091,253823,1.925567382,856.0536514,887.2107127,69733,36926,32807,12.91557544,882.0167777,888.4525808,160899,84682,76217,29.80085717,387379,220185,167194,82.38933517,88.36915297,75.64791689,166141,143640,22501,154321,134848,19473,28.58251499,11820,8792,3028,2.189237545,553,446,107,613,508,105,4930,3942,988,160045,138744,21301,373773,142451,231322,69.22824746,31.436802251876,-0.0564381199413982,1.32999370645929,22.1357449341136,0.713136317810094,1.0651403592e-10,2.46334361853793e-06,-1.04531684567168e-07
"25","Shahdara","North East","Shahdara",356.571739,100,68.7,29.2,2.1,90.9,63.3,25.6,2,9.1,5.5,3.6,0.1,58246,322931,169409,153522,1.479784553,863.9667766,906.221039,39375,21039,18336,12.19300717,862.28482,871.524312,37416,19498,17918,11.58637604,244564,133543,111021,86.24892437,90.00673991,82.12462829,99698,88494,11204,95612,85791,9821,29.60756323,4086,2703,1383,1.265285773,167,127,40,166,144,22,5410,4889,521,93955,83334,10621,223233,80915,142318,69.127151,14.3973844690772,-0.00554265052538655,0.580753863495943,20.9969303997852,0.935668848904578,3.48135989269486e-11,1.79838375224411e-06,-1.7163575269598e-08
"26","Vasant Vihar","South West","Vasant Vihar",1547.626855,100,64.9,32,3.1,97.7,63.7,31.1,2.9,2.3,1.1,1,0.2,151591,641666,356156,285510,19.65955733,796.1340327,801.6431002,69932,37344,32588,10.89850483,859.4885169,872.6435304,92912,50384,42528,14.47980725,504654,294885,209769,88.26727114,92.49495,82.93821811,252376,204455,47921,239086,195414,43672,37.26019456,13290,9041,4249,2.071170983,999,775,224,2192,1738,454,4915,3962,953,244270,197980,46290,389290,151701,237589,60.66863446,126.921477689249,-0.9866105429793,8.43709719590527,18.4752532736283,0.570247850228272,4.35903483162958e-06,1.31487365637345e-05,-1.53757646965758e-06
"27","Vivek Vihar","East","Vivek Vihar",1954.845701,100,69.5,28.8,1.7,95.3,66.6,27.1,1.7,4.7,2.9,1.7,0,50134,247906,130769,117137,18.0195663,874.4199743,895.7551102,25737,13747,11990,10.3817576,836.3800028,872.1902961,48421,25309,23112,19.53200003,199028,108657,90371,89.58405538,92.85177146,85.94729284,85214,70943,14271,82342,68887,13455,33.21500891,2872,2056,816,1.158503626,162,114,48,190,148,42,2541,2182,359,82321,68499,13822,162692,59826,102866,65.62648746,53.9774258210317,0.330079772233048,2.40996835095216,22.0270465296706,0.332366627333132,2.77659258765723e-08,9.72129900426839e-06,1.33147149416734e-06
